Do you want to be in society?,Do you make an attempt to socialise?,Do you consume things to alter your perspective? (Alcohol and stuff),Are you depressed?,Do you try to improve yourself?,Would you compromise with a friend?,If you and another person were both thirsty and you only had enough water for one person; would you share with the other person?,If a colleague invited you to do something with them; how would you answer? (Date; hang-out; party; etc.),Are you anxious of social interaction?,Do you think you fit in with other people?,Do you shower more than twice a week?,Do you take care of your appearance? (shaving; hair styling; make up; fashion; etc.),Do you talk back in equal volume to someone that is talking to you? (Talking as much as they are to you and amplitude of voice),Which is more difficult?,Does it seem unrealistic to imagine yourself with another person in an intimate context? (Girlfriend; best friends; etc),Do you have long term goals?,Would you rather work in food service; or be unemployed?,You've lived a life with many moments where you regret doing nothing.,Is it reasonable to think that the majority of people are dumb?,Have you given up?,Are you currently celibate? (No sex for a while),Do you live your life by your own volition?,Can you look people in the eyes without discomfort?,Has anyone ever described you as awkward; autistic; weird; etc.?,Do you currently have a romantic partner? (Unrequited(crushes); non-exclusive and/or non-monogamous relationships DO NOT count),Do you currently have a medium for socialization? (Social media; work; etc.),Do you talk to people on a regular basis? (Internet stuff doesn't count),Do you have unconventional interests? (Anime; collecting specific items; weird fetishes; etc.),Are you currently in education; training or employment?,Are you good at speaking?,Is your family proud of you?,Do people usually like being around you?,Can you transport yourself easily?,Are you physically in-shape?,What is your biological sex?,How tall are you?,How attractive are you (from 0 to 10),What is your BMI?,How many friends and colleagues do you currently have?,Rate your life right now.,Which climate do you live in?,X,Y
D,Y,A,D,0,0,Y,Y,D,D,N,A,D,N,A,N,N,Y,A,N,Y,Y,Y,N,Y,N,N,Y,N,N,A,D,Y,Y,othersex,15,24,34,42,51,mild,-2,-3
Y,N,D,0,Y,D,Y,Y,N,Y,Y,A,0,Y,0,Y,Y,N,D,Y,Y,N,Y,N,N,Y,Y,N,N,Y,D,D,Y,N,male,14,23,34,41,53,snow,-5,0.75
A,Y,N,A,Y,Y,Y,N,D,0,N,D,0,Y,0,Y,Y,Y,N,0,Y,Y,N,N,Y,N,N,Y,N,N,A,0,Y,A,male,11,21,33,42,52,dry,-6,3.5
0,D,D,A,0,A,N,N,A,N,N,0,Y,N,A,Y,N,N,Y,A,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,D,N,Y,othersex,14,22,32,43,51,mild,-2,-4.5
A,D,A,Y,A,N,N,N,Y,A,N,Y,A,N,0,N,Y,Y,A,D,N,Y,N,Y,N,Y,Y,Y,Y,N,0,N,0,0,male,13,24,31,41,53,mild,-2,2.25
N,0,D,Y,D,Y,Y,N,0,Y,N,A,0,Y,N,Y,Y,Y,0,N,Y,Y,N,N,N,N,N,Y,Y,D,A,Y,0,Y,othersex,13,24,31,43,53,dry,-2,2.25
A,Y,0,Y,A,D,Y,N,N,Y,N,N,D,N,Y,N,N,Y,0,A,Y,N,Y,N,Y,Y,N,Y,N,N,N,D,0,0,female,14,21,32,42,51,polar,-2.5,-3.25
D,A,Y,0,D,N,N,Y,A,N,N,0,N,Y,0,Y,N,Y,D,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,D,D,othersex,12,23,32,41,54,polar,3,0.75
Y,D,D,D,N,N,N,Y,A,N,Y,D,D,N,A,Y,Y,Y,0,A,Y,N,Y,N,Y,N,N,N,N,0,Y,D,0,D,male,11,21,34,41,52,snow,-6,-4.25
Y,0,A,A,0,A,N,N,A,A,N,Y,N,N,0,Y,Y,N,0,N,Y,N,Y,N,Y,Y,N,N,N,A,D,0,0,N,male,12,24,32,41,54,polar,-5,3
Y,A,A,Y,D,N,Y,Y,Y,D,N,D,A,Y,D,N,N,N,D,D,N,Y,Y,N,N,N,Y,Y,Y,Y,0,A,N,0,female,14,21,34,41,54,snow,2.5,2.25
A,N,0,A,0,D,N,Y,N,Y,N,N,A,Y,0,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,Y,N,D,Y,0,male,14,24,31,42,54,polar,-3,0.5
N,0,A,D,D,Y,N,N,A,0,Y,Y,N,Y,N,Y,Y,Y,Y,0,N,Y,N,N,Y,Y,Y,N,Y,A,0,A,Y,0,female,14,22,32,42,54,mild,4.5,2.5
0,0,0,D,0,0,N,Y,A,0,N,N,A,Y,A,N,N,N,0,D,Y,Y,N,N,N,Y,N,Y,Y,A,D,D,0,Y,othersex,15,23,33,41,53,snow,-1,-1.5
D,D,A,D,A,D,Y,N,A,D,N,Y,Y,Y,D,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,D,D,A,A,Y,male,11,23,33,42,51,mild,-7,-2.25
D,0,Y,Y,D,D,Y,Y,D,N,N,0,Y,Y,N,Y,Y,Y,A,Y,N,N,Y,N,Y,Y,Y,N,N,0,0,N,D,A,male,13,23,31,41,51,polar,-2,-2
N,D,Y,0,Y,A,Y,N,D,0,N,0,N,N,N,N,Y,Y,A,Y,Y,Y,Y,Y,N,Y,N,N,N,A,A,D,N,N,othersex,12,24,31,42,52,mild,-2,-2.75
0,0,0,Y,A,0,N,N,0,A,Y,D,0,N,N,Y,Y,Y,0,Y,Y,N,N,N,N,N,Y,N,Y,Y,A,Y,0,N,othersex,14,24,31,41,51,mild,-2,2.25
Y,0,0,Y,D,N,N,N,Y,D,Y,Y,N,Y,D,Y,Y,N,A,N,N,N,N,N,Y,Y,Y,Y,Y,A,D,N,A,0,male,13,22,31,41,51,snow,-2,-1.5
D,D,D,0,A,A,Y,Y,A,N,Y,Y,0,Y,0,N,N,N,A,Y,N,N,N,N,Y,Y,N,N,N,N,Y,A,A,A,male,15,24,33,41,52,polar,-4,0
Y,0,A,A,D,A,N,Y,Y,N,N,D,A,N,N,N,Y,N,Y,D,N,N,N,Y,Y,N,Y,N,Y,D,D,0,Y,N,othersex,14,24,33,43,53,polar,0,-0.25
D,0,N,0,D,A,Y,N,Y,0,N,0,A,Y,D,N,Y,Y,0,0,N,N,N,N,Y,N,N,Y,N,Y,N,D,D,Y,male,13,22,32,41,51,polar,-6,0
D,0,0,N,D,D,Y,Y,Y,0,Y,0,0,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N,D,D,Y,Y,N,othersex,12,21,32,41,51,snow,-1,-2.75
N,D,D,Y,0,Y,Y,Y,Y,A,Y,0,N,Y,0,N,N,N,Y,0,Y,Y,Y,N,Y,Y,Y,N,Y,0,A,N,A,N,othersex,15,22,31,42,51,dry,3,-0.5
0,N,Y,D,D,D,N,Y,Y,A,Y,0,N,Y,Y,Y,Y,Y,0,A,Y,N,N,Y,N,N,N,Y,Y,Y,N,Y,A,N,female,15,22,31,41,54,polar,-4.5,0.5
0,A,N,0,D,D,Y,Y,A,A,Y,0,D,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,A,D,D,Y,0,male,14,21,31,41,53,mild,-4,4.25
0,D,Y,0,A,0,Y,N,D,Y,N,A,A,N,A,Y,Y,Y,N,0,N,N,N,N,Y,N,Y,N,Y,0,Y,D,0,D,male,14,23,33,43,51,dry,-2,0.75
N,D,D,N,0,Y,Y,Y,D,A,Y,A,A,Y,N,N,Y,N,A,0,Y,N,N,Y,N,N,Y,N,Y,D,Y,0,Y,Y,othersex,13,23,32,43,51,dry,-3,-0.25
Y,0,Y,N,A,N,Y,Y,Y,0,Y,Y,0,N,D,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,A,0,0,A,othersex,14,23,34,43,53,dry,1,2.5
0,A,0,D,Y,D,N,Y,N,0,N,D,Y,N,A,N,N,N,D,A,Y,Y,N,N,Y,Y,N,Y,Y,D,0,A,A,A,othersex,14,24,32,43,53,mild,0,-4.5
0,A,D,N,N,D,Y,Y,A,A,Y,0,A,Y,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,A,Y,N,A,Y,female,14,23,33,42,52,tropical,0.5,5.25
Y,0,D,0,Y,D,N,N,A,N,Y,A,Y,Y,N,Y,Y,Y,A,A,N,Y,Y,Y,Y,Y,Y,Y,Y,0,N,0,Y,Y,othersex,15,24,31,42,51,tropical,3,0.5
Y,0,A,0,Y,D,N,N,A,Y,N,N,D,N,D,Y,Y,N,0,Y,Y,N,N,N,Y,N,Y,Y,Y,D,0,D,N,D,othersex,13,22,31,42,52,dry,-2,-3.25
Y,Y,0,D,N,A,N,N,N,0,N,N,A,Y,Y,Y,N,N,D,D,Y,N,N,N,Y,Y,N,Y,Y,N,D,A,D,D,male,12,22,31,42,52,snow,-5,-2
0,Y,Y,Y,0,D,N,N,D,0,N,0,0,Y,Y,N,N,Y,0,N,N,N,N,N,N,Y,N,Y,Y,0,D,Y,Y,D,othersex,13,22,32,42,54,snow,-1,-3
N,A,N,D,0,Y,Y,N,0,A,Y,0,0,Y,0,Y,Y,Y,D,0,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,0,A,male,11,24,33,42,51,tropical,-4,5.5
0,Y,A,N,Y,0,Y,Y,Y,Y,Y,Y,D,Y,Y,Y,N,Y,Y,A,N,N,Y,N,N,Y,N,N,Y,N,N,N,A,Y,othersex,12,21,32,42,51,dry,1,3
0,D,0,Y,0,0,N,N,A,A,N,N,D,Y,N,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,0,0,D,0,0,othersex,15,24,32,41,51,polar,4,-0.25
N,D,Y,N,A,N,N,N,0,A,Y,D,Y,Y,D,N,Y,Y,N,A,Y,N,N,N,N,N,N,N,N,0,Y,0,D,0,male,15,24,34,43,51,mild,-8,0
D,D,0,0,N,Y,N,N,A,A,N,Y,0,N,N,Y,Y,Y,A,A,N,Y,N,Y,Y,Y,N,N,N,Y,0,N,D,D,othersex,12,23,34,43,51,snow,0,-3
D,A,A,Y,0,A,Y,N,Y,D,Y,D,A,N,N,N,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,A,0,0,A,Y,female,15,21,32,41,51,dry,-5.5,3.25
D,0,Y,D,0,0,N,N,D,N,N,Y,N,N,N,Y,N,Y,A,D,Y,Y,Y,Y,N,Y,N,Y,N,A,0,A,A,A,female,11,24,34,41,51,dry,-2.5,-2.25
N,0,Y,D,0,D,N,Y,D,Y,Y,N,N,Y,Y,Y,N,N,D,Y,N,N,N,Y,N,N,Y,N,Y,0,Y,Y,N,D,othersex,11,21,33,43,51,dry,-1,-3.25
N,Y,0,D,N,0,N,Y,0,D,N,Y,N,Y,N,N,Y,N,Y,A,Y,Y,Y,N,N,Y,N,Y,N,A,Y,A,N,N,othersex,13,22,31,42,54,mild,-2,-3.75
N,0,0,N,N,D,Y,N,0,0,N,Y,N,Y,N,Y,N,Y,A,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,D,N,male,12,22,31,43,52,tropical,-1,-3
A,D,N,N,0,0,N,Y,N,Y,N,A,N,Y,Y,N,Y,Y,D,N,Y,N,N,Y,N,N,N,N,Y,D,D,N,N,D,male,15,24,33,42,53,snow,-7,0.25
0,A,0,Y,N,A,N,N,Y,D,Y,Y,D,Y,A,Y,Y,N,Y,D,Y,Y,Y,N,Y,Y,N,N,N,0,A,A,0,Y,female,14,21,34,41,53,polar,0.5,2
A,A,A,D,Y,0,N,Y,Y,N,N,A,D,N,D,N,N,Y,D,N,N,Y,N,Y,Y,N,N,N,Y,Y,Y,0,0,Y,female,11,21,34,43,52,dry,1.5,4.75
A,N,N,0,N,N,Y,N,D,D,N,0,Y,N,N,Y,Y,Y,N,0,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,Y,N,male,15,22,34,43,51,tropical,-1,-0.75
A,0,Y,A,Y,0,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,A,Y,0,Y,N,othersex,13,21,32,41,54,mild,-1,2.75
0,Y,0,0,D,Y,Y,N,Y,0,Y,0,N,Y,Y,Y,Y,N,Y,0,N,Y,Y,N,Y,Y,N,Y,N,0,Y,0,0,A,female,11,21,34,42,54,polar,1.5,0.25
A,A,D,0,N,D,N,Y,N,0,N,A,A,N,0,Y,Y,Y,0,N,Y,N,Y,Y,N,N,N,N,N,Y,D,0,D,Y,othersex,15,24,32,43,53,snow,-5,1.75
N,N,N,Y,Y,0,N,Y,0,Y,N,Y,Y,Y,0,Y,N,Y,D,D,N,N,Y,Y,Y,Y,Y,Y,Y,A,D,Y,N,0,othersex,15,24,32,43,52,dry,1,3.5
N,Y,D,N,D,D,Y,Y,0,Y,Y,A,A,N,N,Y,N,N,A,D,N,N,N,N,N,N,N,Y,Y,A,A,0,A,D,othersex,11,21,33,43,54,tropical,-2,-0.25
0,A,A,A,Y,D,N,Y,A,Y,N,Y,D,N,0,Y,N,Y,0,Y,N,Y,Y,N,N,Y,Y,Y,Y,0,Y,0,N,Y,othersex,13,21,31,43,51,snow,3,3
Y,A,D,N,0,Y,Y,Y,A,Y,Y,D,A,N,N,Y,N,Y,A,0,Y,Y,Y,N,N,Y,Y,Y,Y,A,Y,D,A,0,female,12,22,34,43,54,tropical,1.5,3
0,N,0,A,0,A,Y,Y,0,D,Y,D,D,N,A,Y,N,N,N,0,Y,Y,Y,N,N,N,N,Y,Y,D,0,A,D,N,female,12,22,32,42,54,dry,-0.5,-1.5
0,A,N,0,Y,A,N,Y,A,A,N,N,D,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,A,0,0,A,A,othersex,15,24,33,42,51,mild,-1,4.5
N,A,A,N,A,0,Y,N,0,D,N,N,Y,N,Y,N,Y,Y,A,0,N,N,Y,N,Y,Y,Y,N,Y,0,Y,Y,A,D,othersex,13,23,31,41,52,tropical,3,0.25
0,Y,N,A,D,N,N,Y,Y,D,N,0,N,Y,A,N,Y,Y,A,D,N,Y,Y,N,Y,Y,Y,N,N,0,Y,N,Y,A,othersex,15,21,32,43,52,snow,3,0.25
Y,N,D,0,N,0,N,Y,0,N,Y,Y,Y,N,N,Y,N,N,A,0,Y,Y,Y,Y,N,N,N,N,N,N,0,D,A,0,othersex,11,21,33,43,53,tropical,-3,-3
D,D,Y,N,N,0,Y,Y,D,0,N,D,D,Y,0,Y,N,N,N,A,N,Y,N,N,Y,N,N,N,N,Y,N,N,D,N,othersex,13,22,33,41,53,mild,0,-6.25
Y,D,0,A,D,N,Y,N,D,D,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,0,A,N,Y,othersex,12,23,31,41,53,mild,-1,-2
A,N,Y,Y,0,N,N,Y,A,0,Y,0,0,Y,A,Y,N,N,Y,0,Y,N,Y,Y,N,N,N,N,Y,N,D,N,D,Y,female,11,22,33,43,51,snow,-2.5,-0.25
D,0,N,Y,D,0,Y,N,D,D,Y,N,Y,N,D,Y,Y,Y,0,N,N,Y,N,Y,Y,Y,N,N,N,A,Y,0,A,N,female,14,22,33,43,51,mild,0.5,-0.5
N,A,Y,D,Y,A,Y,Y,A,D,N,D,D,Y,A,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,0,Y,N,0,female,15,22,34,42,52,polar,3.5,1.5
A,0,N,0,A,0,N,N,Y,A,Y,D,0,Y,D,Y,N,Y,0,A,N,N,Y,Y,Y,N,Y,Y,N,N,N,N,D,Y,female,15,23,33,43,54,snow,-1.5,1.25
A,0,D,A,Y,0,Y,N,Y,0,N,0,0,N,D,N,N,Y,D,Y,N,Y,N,N,Y,N,N,N,N,A,D,Y,0,0,othersex,15,24,31,43,51,mild,0,1.5
A,D,A,A,0,A,Y,Y,N,0,N,D,Y,Y,N,Y,N,N,N,0,N,Y,N,Y,N,Y,Y,N,N,A,N,D,0,0,male,11,22,33,41,53,snow,-3,2.25
N,N,Y,0,Y,0,Y,Y,N,A,Y,N,A,N,D,N,Y,N,A,D,Y,N,Y,Y,N,Y,N,Y,Y,0,D,0,A,D,othersex,12,24,31,43,53,dry,-3,0.75
0,N,D,Y,N,Y,N,Y,0,A,Y,N,A,Y,0,Y,N,N,0,A,Y,N,N,N,Y,N,N,Y,Y,0,N,Y,0,D,male,13,22,33,42,51,snow,-6,-1.25
N,D,0,D,0,Y,Y,Y,A,0,Y,D,0,Y,A,N,N,Y,N,0,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,A,A,D,male,11,24,34,41,52,mild,-2,0.5
Y,N,A,D,Y,A,N,N,N,D,Y,D,Y,N,0,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,0,A,Y,D,0,female,12,22,32,41,51,tropical,0.5,-1.25
D,D,Y,A,A,A,Y,N,0,A,Y,A,D,N,A,N,Y,N,Y,0,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,0,D,male,11,22,32,43,53,mild,-6,0
N,D,0,Y,N,A,N,N,D,D,Y,N,N,Y,N,Y,N,Y,D,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,0,0,N,male,13,22,34,43,53,mild,-6,-2.25
N,A,D,0,D,D,Y,N,D,A,N,Y,A,Y,A,Y,N,Y,Y,D,N,N,Y,N,N,N,Y,Y,N,Y,0,A,D,A,othersex,13,21,31,42,54,polar,-2,-0.25
A,N,A,N,0,A,Y,N,D,N,N,Y,D,Y,Y,Y,N,Y,N,A,Y,N,N,Y,N,N,N,Y,Y,Y,D,0,A,A,othersex,13,24,34,41,51,tropical,-5,1.5
0,0,N,A,N,N,N,N,A,A,Y,Y,N,N,A,N,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,A,male,15,22,34,41,52,polar,-2,0.25
A,D,A,D,0,N,Y,Y,A,D,Y,N,A,Y,D,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,0,N,A,D,A,othersex,15,21,31,42,52,mild,-2,0.75
0,0,A,0,D,N,Y,N,N,D,N,Y,Y,Y,D,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,0,A,A,A,D,male,15,24,33,43,51,tropical,-2,0.75
A,D,D,N,N,N,Y,Y,0,N,Y,Y,A,Y,A,Y,N,Y,0,D,Y,N,Y,N,Y,Y,N,N,N,Y,D,N,N,N,male,14,23,34,41,51,mild,-5,1.25
N,0,0,N,A,Y,N,Y,D,N,N,D,D,N,N,Y,Y,Y,D,0,N,N,Y,Y,N,N,N,N,N,Y,A,N,0,A,male,14,23,32,43,51,mild,-6,1.25
A,0,D,Y,0,Y,N,Y,A,Y,Y,0,0,N,N,Y,Y,N,D,N,N,Y,Y,Y,N,N,N,Y,N,A,Y,Y,Y,Y,male,15,24,33,42,53,tropical,-5,5
0,D,0,A,Y,D,Y,N,0,Y,N,0,Y,N,0,Y,Y,Y,A,A,Y,Y,Y,N,N,N,N,Y,N,D,D,N,Y,N,female,15,22,34,41,51,mild,-2.5,-3
D,A,0,N,Y,D,N,N,N,N,Y,0,0,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,D,0,0,N,Y,male,11,22,31,43,54,dry,-6,-7
0,0,0,D,N,N,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,A,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,0,othersex,15,23,34,43,53,polar,-1,-5
N,Y,N,0,N,0,Y,N,A,0,N,D,A,Y,A,Y,N,Y,A,N,N,N,N,Y,Y,Y,Y,Y,N,D,0,N,A,N,female,11,24,34,41,54,mild,-1.5,-1
Y,D,N,A,N,A,N,Y,0,Y,N,Y,N,Y,D,Y,N,Y,A,Y,N,N,Y,N,N,N,Y,Y,Y,A,Y,Y,A,0,othersex,13,24,33,42,53,tropical,0,2.5
D,A,A,Y,A,D,N,N,N,0,Y,0,N,Y,A,N,N,N,0,0,N,N,Y,Y,Y,Y,N,N,N,D,D,0,A,D,female,15,22,34,41,54,dry,-0.5,-3.5
Y,0,A,N,A,0,Y,N,0,Y,N,0,0,Y,A,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,othersex,14,24,33,42,51,dry,-2,0
A,N,0,N,0,Y,Y,N,D,0,Y,A,0,N,0,N,Y,N,A,N,N,Y,Y,N,N,Y,N,Y,N,N,D,A,N,A,female,11,21,32,42,52,dry,0.5,-1.25
A,0,A,D,Y,N,Y,N,Y,0,N,A,D,N,Y,Y,N,Y,A,N,Y,N,Y,Y,N,N,Y,N,Y,D,0,Y,N,D,othersex,14,22,32,41,54,mild,-2,-0.25
N,N,D,0,N,D,Y,Y,N,A,Y,Y,D,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,0,Y,othersex,14,24,34,43,54,tropical,-2,2.75
Y,N,0,0,A,N,Y,Y,A,A,Y,A,Y,N,A,N,Y,N,A,A,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,female,12,23,34,43,51,tropical,0.5,1.25
N,D,N,N,0,0,Y,Y,N,Y,Y,A,A,N,A,Y,Y,N,D,Y,N,N,Y,Y,N,N,N,Y,Y,0,0,A,D,0,female,11,24,31,43,54,tropical,-1.5,0.5
0,Y,Y,Y,Y,A,Y,N,D,0,N,D,A,Y,D,Y,Y,Y,0,Y,Y,N,Y,N,N,Y,N,Y,Y,0,N,0,0,A,othersex,13,22,34,42,54,tropical,-2,2.25
A,0,N,D,A,Y,N,Y,A,D,N,D,N,N,A,N,N,N,N,0,N,Y,N,N,Y,N,N,Y,Y,N,0,N,N,0,othersex,14,23,34,42,54,tropical,1,-4
N,Y,0,A,0,A,Y,N,Y,D,N,D,D,Y,N,N,N,N,Y,A,Y,Y,N,N,Y,N,N,N,N,A,N,A,A,Y,female,14,24,33,41,54,dry,-1.5,-2.25
N,D,N,A,N,A,N,Y,0,0,N,0,0,Y,0,Y,Y,N,Y,A,Y,N,Y,Y,N,Y,Y,N,N,A,N,A,D,D,male,11,23,34,42,52,dry,-6,-1.5
N,D,N,0,N,Y,Y,Y,0,0,Y,Y,A,Y,Y,Y,N,N,Y,0,N,N,N,Y,N,N,Y,Y,N,A,D,N,Y,A,male,14,23,33,43,51,polar,-7,0
Y,N,A,A,N,Y,Y,N,D,N,Y,N,0,N,0,Y,Y,N,N,Y,N,N,Y,N,Y,Y,N,Y,Y,0,Y,D,A,0,female,13,23,31,42,54,snow,1.5,0.25
A,N,0,N,0,A,N,N,Y,0,Y,N,0,N,D,Y,Y,Y,Y,A,Y,Y,Y,Y,Y,N,Y,Y,N,0,0,N,A,0,othersex,15,22,34,43,53,mild,-2,1.5
A,D,A,A,A,Y,N,Y,D,A,Y,Y,D,Y,A,Y,Y,Y,D,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,D,N,N,othersex,12,22,31,42,54,tropical,-3,6
D,Y,0,A,D,Y,N,N,Y,A,Y,N,N,N,N,Y,N,N,Y,0,Y,N,Y,Y,N,Y,N,Y,N,Y,0,A,D,A,othersex,11,23,34,41,52,tropical,-5,-1.5
D,A,D,N,A,0,N,Y,A,A,N,D,A,Y,0,N,Y,Y,D,D,N,N,Y,N,Y,Y,Y,N,N,N,A,D,D,0,female,14,23,31,42,53,dry,1.5,3.5
Y,Y,0,D,D,N,Y,N,Y,N,N,0,N,Y,0,N,N,Y,N,D,Y,N,N,Y,N,Y,Y,N,Y,0,0,Y,D,D,female,15,22,34,43,51,tropical,-1.5,-1.5
A,A,N,D,A,D,N,N,N,A,N,Y,D,N,A,Y,N,Y,0,0,N,N,Y,Y,Y,Y,Y,Y,N,D,A,0,0,0,female,13,21,34,41,51,snow,-0.5,-1
N,Y,N,Y,0,N,N,N,Y,D,Y,0,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,A,N,A,N,A,male,14,23,34,42,53,dry,-3,-1.75
N,Y,0,0,N,Y,Y,N,N,Y,N,D,D,Y,0,Y,N,Y,D,D,N,Y,Y,N,N,Y,Y,N,Y,A,D,A,N,Y,othersex,11,23,31,41,53,dry,4,1.25
N,N,A,D,A,0,N,Y,D,Y,N,D,0,Y,D,Y,Y,N,A,D,Y,N,N,N,N,N,Y,Y,Y,0,0,0,0,N,male,12,21,31,41,52,tropical,-6,-1
N,N,N,A,A,A,N,N,N,Y,N,Y,N,Y,D,Y,Y,N,A,A,N,Y,Y,Y,N,Y,N,N,Y,Y,D,A,0,A,male,12,21,33,42,54,mild,-1,-0.25
